run_date,rank,symbol,name,price,intrinsic,margin_of_safety,confidence,n_models
2026-06-20,1,FOX,Fox Corporation,46.95,103.28,54.5%,medium,3
2026-06-24,1,MSFT,Microsoft Corporation,368.58,446.05,17.4%,low,2
2026-06-24,2,BMY,Bristol-Myers Squibb Company,55.38,61.98,10.6%,high,3
2026-06-24,3,HCA,"HCA Healthcare, Inc.",391.75,454.91,13.9%,low,2
2026-06-25,1,DELL,Dell Technologies Inc.,404.92,732.99,44.8%,low,1
2026-06-25,2,RTX,RTX Corporation,186.09,209.78,11.3%,low,1
2026-06-25,3,BKNG,Booking Holdings Inc.,179.65,187.20,4.0%,medium,2
2026-06-26,1,RTX,RTX Corporation,189.00,211.05,10.4%,low,1
2026-06-26,2,BKNG,Booking Holdings Inc.,182.63,188.48,3.1%,medium,2
2026-06-26,3,MSI,"Motorola Solutions, Inc.",402.81,549.43,26.7%,low,1
2026-06-27,1,RTX,RTX Corporation,187.99,210.02,10.5%,low,1
2026-06-27,2,BKNG,Booking Holdings Inc.,181.46,187.70,3.3%,medium,2
2026-06-27,3,MSI,"Motorola Solutions, Inc.",402.89,550.57,26.8%,low,1
2026-06-28,1,RTX,RTX Corporation,187.99,210.02,10.5%,low,1
2026-06-28,2,BKNG,Booking Holdings Inc.,181.46,187.70,3.3%,medium,2
2026-06-28,3,MSI,"Motorola Solutions, Inc.",402.89,550.57,26.8%,low,1
2026-06-30,1,RTX,RTX Corporation,188.94,209.87,10.0%,low,1
2026-06-30,2,BKNG,Booking Holdings Inc.,177.91,186.68,4.7%,medium,2
2026-06-30,3,MSI,"Motorola Solutions, Inc.",414.49,597.79,30.7%,low,1
2026-07-01,1,RTX,RTX Corporation,191.13,210.98,9.4%,low,1
2026-07-01,2,BKNG,Booking Holdings Inc.,183.68,187.79,2.2%,medium,2
2026-07-01,3,BMY,Bristol-Myers Squibb Company,56.44,60.89,7.3%,high,3
2026-07-02,1,CMI,Cummins Inc.,658.27,754.21,12.7%,low,1
2026-07-02,2,TDG,TransDigm Group Incorporated,1337.98,1339.75,0.1%,medium,2
2026-07-02,3,MSI,"Motorola Solutions, Inc.",420.69,561.88,25.1%,low,1
2026-07-03,1,DELL,Dell Technologies Inc.,394.32,961.60,59.0%,low,1
2026-07-03,2,BKNG,Booking Holdings Inc.,184.56,187.85,1.8%,medium,2
2026-07-03,3,CMI,Cummins Inc.,661.70,759.17,12.8%,low,1
2026-07-05,1,DELL,Dell Technologies Inc.,394.32,961.60,59.0%,low,1
2026-07-05,2,CMI,Cummins Inc.,661.70,759.17,12.8%,low,1
2026-07-05,3,TDG,TransDigm Group Incorporated,1348.49,1356.44,0.6%,medium,2
2026-07-06,1,DELL,Dell Technologies Inc.,409.94,968.03,57.7%,low,1
2026-07-06,2,BKNG,Booking Holdings Inc.,181.70,187.64,3.2%,medium,2
2026-07-06,3,TDG,TransDigm Group Incorporated,1344.78,1352.56,0.6%,medium,2
